,Id,Track Name,Artist Name,Album Name,Duration,Popularity
37,17825556,Chop Suey!,System Of A Down,Toxicity,210,79
133,230909382,N95,Kendrick Lamar,Mr. Morale & The Big Steppers,196,79
202,294827140,The Summoning,Sleep Token,Take Me Back To Eden,396,79
32,304808,Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),330,75
67,72694584,FEEL.,Kendrick Lamar,DAMN.,214,75
184,586941,Stan,Eminem,The Marshall Mathers LP,404,73
180,121050682,Self Esteem,The Offspring,Smash,258,72
6,86643519,After The Storm,Kali Uchis,Isolation,207,71
122,72694588,LUST.,Kendrick Lamar,DAMN.,307,71
192,136685779,The Adults Are Talking,The Strokes,The New Abnormal,309,71
20,92967293,ASTROTHUNDER,Travis Scott,ASTROWORLD,143,69
87,214385,"Hold On, I'm Comin'",Sam & Dave,"Hold On, I'm Comin'",156,69
130,230909398,Mirror,Kendrick Lamar,Mr. Morale & The Big Steppers,256,69
100,56068951,Innerbloom,RÜFÜS DU SOL,Bloom,578,68
209,230901284,True Love,Kanye West,True Love,149,68
186,58990509,Street Spirit (Fade Out),Radiohead,The Bends,253,67
25,402602063,Big Dawgs,HanuMankind,Big Dawgs (Remix),237,66
27,19193414,Break of Dawn,Michael Jackson,Invincible,333,66
43,43421710,D.A.N.C.E,Justice,Justice,242,66
161,114492500,Poe Mans Dreams (His Vice),Kendrick Lamar,Section.80,262,66
165,368834084,Quezacotl,deadmau5,Quezacotl,435,66
63,77613442,Eminence Front,The Who,It's Hard,340,65
66,114492493,F*ck Your Ethnicity,Kendrick Lamar,Section.80,225,65
157,35001649,Outro,M83,"Hurry Up, We're Dreaming",247,65
39,307603186,CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),Travis Scott,UTOPIA,259,64
45,55163304,Dear Prudence,The Beatles,The Beatles (Remastered),235,64
93,58990531,Idioteque,Radiohead,Kid A,309,64
111,2844716,Knights of Cydonia,Muse,Black Holes and Revelations,367,64
113,114492504,Kush & Corinthians,Kendrick Lamar,Section.80,305,63
124,354739050,Mary Boone,Vampire Weekend,Only God Was Above Us,266,63
148,136685787,Ode To The Mets,The Strokes,The New Abnormal,352,63
91,409789229,Ibiza,Butcher Brown,Ibiza,257,61
168,394010173,Re_Jaded,deadmau5,Jaded,720,61
220,136685785,Why Are Sundays So Depressing,The Strokes,The New Abnormal,276,61
24,136685782,Bad Decisions,The Strokes,The New Abnormal,293,60
30,136685781,Brooklyn Bridge To Chorus,The Strokes,The New Abnormal,236,60
71,275304277,Food for the Soul,it's murph,Food for the Soul,211,60
212,5814814,Under Cover of Darkness,The Strokes,Angles,236,60
8,59962973,Ageispolis,Aphex Twin,Selected Ambient Works 85-92,323,59
21,136685784,At The Door,The Strokes,The New Abnormal,310,59
26,3966320,Blue and Yellow,The Used,The Used,201,59
177,77850894,Save Me,XXXTENTACION,17,163,59
15,278346194,Anchor Point,Ahmed Spins,Anchor Point EP,359,58
33,58081088,Campus,Vampire Weekend,Vampire Weekend,176,58
199,35236718,The Rockafeller Skank,Fatboy Slim,You've Come A Long Way Baby,413,58
112,6695346,Kong,Bonobo,Black Sands,238,57
140,136685786,Not The Same Anymore,The Strokes,The New Abnormal,337,57
178,77610846,Scentless Apprentice,Nirvana,In Utero,228,57
218,19441053,Welcome To Japan,The Strokes,Comedown Machine,231,57
223,61541769,Wouldn't It Be Nice,The Beach Boys,Pet Sounds (50th Anniversary Edition),154,57
190,68609796,Taro,alt-J,An Awesome Wave,315,56
109,191804761,Just Feels Tight,FISHER,Just Feels Tight,198,55
110,6695345,Kiara,Bonobo,Black Sands,230,55
193,2215061,The Eraser,Thom Yorke,The Eraser,296,55
3,19441054,80's Comedown Machine,The Strokes,Comedown Machine,299,54
151,19441052,One Way Trigger,The Strokes,Comedown Machine,242,54
194,22869842,The Girl From Ipanema,Antonio Carlos Jobim,Sinatra/Jobim: The Complete Reprise Recordings,200,54
230,118390448,You Never Give Me Your Money,The Beatles,Abbey Road (Super Deluxe Edition),243,54
170,5167017,Rock 'n' Roll (Will Take You to the Mountain),Skrillex,Scary Monsters and Nice Sprites EP,284,53
181,37270825,Silver,Caribou,Our Love,316,53
189,19441050,Tap Out,The Strokes,Comedown Machine,222,53
226,128552,X&Y,Coldplay,X&Y,274,53
154,225753018,Open The Floodgates,The Smile,A Light for Attracting Attention,269,52
68,23111628,Feels,Giraffage,Needs,190,51
74,60019922,Give Up The Ghost,Radiohead,The King Of Limbs,290,51
163,304810,Porcelain,Red Hot Chili Peppers,Californication (Deluxe Edition),164,51
106,6645434,Ize of the World,The Strokes,First Impressions Of Earth,266,50
107,394010176,Jaded,deadmau5,Jaded,530,50
129,35013188,Midnight,Coldplay,Ghost Stories,295,50
145,35013192,O,Coldplay,Ghost Stories,323,50
18,328195800,Apocalypse Please,Muse,Absolution XX Anniversary,252,49
47,59962981,Delphium,Aphex Twin,Selected Ambient Works 85-92,329,49
57,339490000,Dreamers,Space Motion,Dreamers,404,49
102,2844711,Invincible,Muse,Black Holes and Revelations,300,49
121,390710658,"Love Like a Sunset, Pt. I",phoenix,Wolfgang Amadeus Phoenix,339,49
61,6695348,El Toro,Bonobo,Black Sands,224,48
146,116923677,Oblivius,The Strokes,Future Present Past,299,48
162,75144346,Polyethylene (Parts 1 & 2),Radiohead,OK Computer OKNOTOK 1997 2017,262,48
164,427615345,Prophets,Bonobo,Lazarus (Adult Swim Original Series Soundtrack),191,48
216,6645428,Vision of Division,The Strokes,First Impressions Of Earth,259,48
10,70994067,All for the Best,Thom Yorke,Ciao My Shining Star - The Songs of Mark Mulcahy,329,47
46,19088777,Default,Atoms For Peace,AMOK,316,47
49,314082141,Diamond Therapy,Diplo,Diamond Therapy,199,47
96,102174581,Ill Wind,Radiohead,Ill Wind,254,47
156,75991992,Outré Lux (feat. Madison McFerrin),Photay,Onism,241,47
158,316400289,Past Is Prologue,Tycho,Past Is Prologue,350,47
175,19084873,Sapphire,Bonobo,The North Borders,288,47
221,5167022,"With You, Friends (Long Drive)",Skrillex,Scary Monsters and Nice Sprites EP,389,47
13,19088784,Amok,Atoms For Peace,AMOK,325,46
42,144505625,Columbia,Oasis,Definitely Maybe (Deluxe Edition Remastered),377,46
92,319065253,I Can Say To You,Butcher Brown,Solar Music,253,46
150,43421719,One Minute To Midnight,Justice,Justice,221,46
171,35783940,Router,Pangaea,You & I / Router,390,46
183,296176204,Sparkle,CARRTOONS,Saturday Night,146,46
191,19084879,Ten Tigers,Bonobo,The North Borders,244,46
22,4191799,Auto Pilot,Queens Of The Stone Age,Rated R - Deluxe Edition,241,45
41,200374016,Closer,Bonobo,Fragments,312,45
62,200374015,Elysian,Bonobo,Fragments,182,45
79,19441059,Happy Ending,The Strokes,Comedown Machine,172,45
90,68606744,Hunger of the Pine,alt-J,This Is All Yours,300,45
114,112214235,Last I Heard (...He Was Circling the Drain),Thom Yorke,ANIMA,307,45
167,304820,Quixoticelixer (2006 Remaster),Red Hot Chili Peppers,Californication (Deluxe Edition),288,45
210,112214236,Twist,Thom Yorke,ANIMA,423,45
219,9959956,What's There,Dauwd,What's There,384,45
228,121423027,You and I,Caribou,Suddenly,244,45
16,35013189,Another's Arms,Coldplay,Ghost Stories,234,43
75,243175235,God Put a Smile upon Your Face,Coldplay,A Rush of Blood to the Head,297,43
83,35918074,Hideaway,Kiesza,Sound Of A Woman,252,43
116,74928377,Leave House,Caribou,Swim,312,43
176,214048950,Satellite,Guster,Ganging up on the Sun,273,43
196,6695352,The Keeper,Bonobo,Black Sands,289,43
201,95063604,The Storm,Notaker,The Storm,295,43
207,19084880,Transits,Bonobo,The North Borders,261,43
229,121270378,You Hear Colours,CFCF,Continent,338,43
179,128529,See You Soon,Coldplay,The Blue Room,171,42
182,187075541,Space Dementia (XX Anniversary RemiXX),Muse,Origin of Symmetry (XX Anniversary RemiXX),382,42
19,243175242,A Rush of Blood to the Head,Coldplay,A Rush of Blood to the Head,351,41
28,16025726,Breathe . Something/Stellar STar,Flying Lotus,Los Angeles,201,41
38,301524210,Chowdr,Mndsgn,Feels,97,41
64,50041882,Empty Me Out,Liz Vice,There's a Light,277,41
141,319065257,No Way Around It,Butcher Brown,Solar Music,233,41
173,138282,Run Run Run,phoenix,Alphabetical,230,41
4,35236727,Acid 8000,Fatboy Slim,You've Come A Long Way Baby,448,40
14,243175243,Amsterdam,Coldplay,A Rush of Blood to the Head,320,40
29,7772129,Breed,Nirvana,Nevermind (Super Deluxe Edition),184,40
65,127782729,Everything Else Has Gone Wrong,Bombay Bicycle Club,Everything Else Has Gone Wrong,250,40
86,306758899,Hips,Kiefer,"It's Ok, B U",264,40
137,82110529,Nose Grows Some,Thom Yorke,Tomorrow's Modern Boxes,322,40
135,16024635,Nil,Autechre,Amber,469,39
160,160159956,Plastic People,Four Tet,There Is Love in You (Expanded Edition),394,39
80,306758898,Head Trip (feat. Luke Titus),Kiefer,"It's Ok, B U",154,38
119,240064440,Lose Myself,Space Motion,Lose Myself,424,38
195,14119810,The Goose that Got Away,Objekt,Objekt EP1,318,38
5,9959957,Acireams,Dauwd,What's There,326,37
56,306758894,Dreamer,Kiefer,"It's Ok, B U",277,37
94,327665936,I Feel Fine,The Beatles,The Beatles 1962 – 1966 (2023 Edition),140,37
98,61541773,I'm Waiting For The Day,The Beach Boys,Pet Sounds (50th Anniversary Edition),187,37
123,37270853,Mars,Caribou,Our Love,345,37
149,301064009,OFF+ON,veggi,OFF+ON,197,37
153,21582756,Open,Com Truise,In Decay,252,37
155,61238778,Orpheus,PariaH,Iotdxi,304,37
215,79345068,Vanishing Point,Synkro,Hand in Hand,329,37
0,62272404,1981,deadmau5,Vexillology,405,36
23,37270864,Back Home,Caribou,Our Love,213,36
128,256705567,Messages from nowhere,deadmau5,stuff i used to do,300,36
159,319065262,Pink Fur,Butcher Brown,Solar Music,172,36
55,306758900,Doomed,Kiefer,"It's Ok, B U",272,35
60,301524207,Eko,Mndsgn,Feels,137,35
84,306758895,High,Kiefer,"It's Ok, B U",109,35
118,214048949,Lightning Rod,Guster,Ganging up on the Sun,176,35
138,298421305,Nostalgia,Hania Rani,Ghosts,207,35
166,106696992,Quicksand,Jacques Greene,On Your Side,300,35
187,128180881,Stupid Car,Radiohead,Drill EP,146,35
9,214049042,Airport Song,Guster,Goldfly,205,34
85,37982062,Hip Love,FaltyDL,Hip Love,289,34
105,306758897,I Wish I Wasn't Me,Kiefer,"It's Ok, B U",64,34
211,128558,Twisted Logic,Coldplay,X&Y,272,34
70,313541058,Fn Pig,deadmau5,> album title goes here < (Deluxe),532,33
103,319065266,It Was Me (Car Chase),Butcher Brown,Solar Music,177,33
52,297642309,Don't Talk (Put Your Head On My Shoulder),The Beach Boys,Pet Sounds,181,32
127,44053157,Meet Ur Maker,Shlohmo,Dark Red,323,32
17,417355292,Apocalypse,Space Motion,Morning Slide,251,31
31,2587419,Brothers & Sisters,Coldplay,Brothers & Sisters,246,31
97,297642310,I'm Waiting For The Day,The Beach Boys,Pet Sounds,190,31
139,151323576,No Talk,River Tiber,Indigo,265,31
172,214048955,Ruby Falls,Guster,Ganging up on the Sun,425,31
174,214948080,Safe,Nosaj Thing,Home,228,31
188,128531,Such a Rush,Coldplay,The Blue Room,298,31
213,4308004,Un Vingt,Throwing Snow,Un Vingt/Cronos,306,31
224,77629998,Wouldn't It Be Nice,The Beach Boys,Pet Sounds (Mono & Stereo),154,31
36,128063009,Children,Fabrication,Colors,337,30
59,214948079,Eclipse/Blue,Nosaj Thing,Home,269,30
73,127782727,Get Up,Bombay Bicycle Club,Everything Else Has Gone Wrong,154,30
34,402574610,Can You Feel It (Instrumental),Larry Heard,Can You Feel It,344,29
44,16023632,Dance Floor Stalker,Flying Lotus,Reset EP,250,29
69,153850882,FEEL WHAT IT IS,Jimmy Edgar,SHINE,288,29
126,214947534,Medic,Nosaj Thing,Fated,119,29
136,58846446,No Honey,Sepalcure,Folding Time,232,29
99,21583878,I’m With You But I’m Lonely,Gold Panda,Lucky Shiner,314,28
40,313541063,Closer,deadmau5,> album title goes here < (Deluxe),431,27
50,222661468,Dna,Space Motion,Dna,272,27
51,214947525,Don't Mind Me,Nosaj Thing,Fated,203,27
78,93963871,Halo Canticles,Kazuma Jinnouchi,Halo 5: Guardians,253,27
81,140045897,Heaven,Stylo,Let It Go,394,27
108,142931270,Jell-O,Egozi,Sugar Rush,234,27
134,33847193,Never,Koreless,Yugen,288,27
214,185777210,Upwards,Kiefer,Happysad,91,27
227,21583881,You,Gold Panda,Lucky Shiner,182,27
12,58520599,All My Loving,The Beatles,Anthology 1,139,26
54,363684523,Don't Worry Baby,The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer (Expanded Edition Super Deluxe),171,26
169,214049048,Rocketship,Guster,Goldfly,243,26
185,77539357,Stars,Mr. Fingers,Amnesia,295,26
222,363684532,Wouldn't It Be Nice,The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer (Expanded Edition Super Deluxe),155,26
115,33847191,Last Remnants,Koreless,Yugen,260,25
204,58520594,This Boy,The Beatles,Anthology 1,142,25
7,21583879,After We Talked,Gold Panda,Lucky Shiner,219,24
58,58875353,Echo In,VESSELS,Dilate (Special Edition),201,24
72,214049046,Getting Even,Guster,Goldfly,283,24
117,289267147,Legacy of Generations,Halo,Halo Infinite Multiplayer: A New Generation (Original Soundtrack),219,24
132,30415096,My Pet Coelacanth,deadmau5,while(1<2),495,24
205,327655496,This Boy,The Beatles,The Beatles 1962 – 1966 (2023 Edition),139,24
206,44462544,Tide Pools,Shigeto,Ghostly Swim 2,187,24
82,289267142,Heroes. Legends. Immortal.,Halo,Halo Infinite Multiplayer: A New Generation (Original Soundtrack),219,23
89,214948078,Home,Nosaj Thing,Home,160,23
1,220525389,5.17,Thom Yorke,5.17 / That's How Horses Are,242,22
35,93426993,Chega De Saudade,Antonio Carlos Jobim,"The Composer Of Desafinado, Plays",257,22
225,214049044,X-Ray Eyes,Guster,Goldfly,207,22
142,327655516,Nowhere Man,The Beatles,The Beatles 1962 – 1966 (2023 Edition),164,21
198,50041891,There's a Light - Live at Portland Soundcheck (Bonus Track),Liz Vice,There's a Light,134,21
11,50041888,All Must Be Well,Liz Vice,There's a Light,234,20
131,87533141,Mopedbart,Hubbabubbaklubb,Late Night Tales Presents After Dark: Nightshift,312,20
147,93165053,O Christmas Tree,Aretha Franklin,A Very Special Christmas 2,213,20
88,20414966,Hold Tight,Shook,The Rise and Fall EP,221,19
95,327655520,If I Needed Someone,The Beatles,The Beatles 1962 – 1966 (2023 Edition),144,19
152,291791748,Only Live Fast,Butcher Brown,Butcher Brown Presents Triple Trey (Deluxe Edition),182,19
217,214947529,Watch,Nosaj Thing,Fated,138,19
203,76331899,Thinking ‘Bout You (Sleepless In Cairo),Sufyvn,Thinking ‘Bout You (Sleepless In Cairo),181,18
104,33847189,Ivana,Koreless,Yugen,201,17
48,185648213,dialect,Mndsgn,Surface Outtakes,162,16
208,291791745,Triple Trey,Butcher Brown,Butcher Brown Presents Triple Trey (Deluxe Edition),165,16
2,273405378,5th Element (Dolby ReMaster),Space Motion,5th Element (Dolby ReMaster) (Remastered),383,15
200,50041884,The Source,Liz Vice,There's a Light,235,13
77,339490154,Green Rework,Space Motion,Green Rework,433,12
143,214954212,N R 1,Nosaj Thing,No Reality,150,12
53,77626488,Don't Worry Baby (Stereo),The Beach Boys,"Shut Down, Vol. 2 (Stereo)",170,11
76,97871820,Good Night,The Beatles,The Beatles (White Album / Super Deluxe),151,10
120,68138452,Love Cactus (Original Mix),Space Motion,Love Cactus,330,10
101,111940852,Intercruise,Ital Tek,Nebula Dance,221,8
125,216929915,Maye,Space Motion,Maye,410,8
144,214954214,N R 3,Nosaj Thing,No Reality,206,5
197,59129331,"The Nutcracker, Op. 71, Act II: No. 14, Pas de deux - Sugar Plum Fairy and Her Prince",Berlin Symphony Orchestra,The Nutcracker (Highlights),560,5
